Iteration	Posterior	Likelihood	Prior	rate_log_sd	root_freqs[1]	root_freqs[2]	tree_length
1542	-1263.183	-1481.363	218.1797	1.545493	0.996614	0.00338599	1.285595
1548	-1262.407	-1480.678	218.2712	1.558584	0.996428	0.0035722	1.198011
1554	-1270.544	-1488.756	218.2119	1.558584	0.995693	0.00430714	1.248167
1560	-1271.221	-1489.235	218.0143	1.558584	0.982644	0.0173561	1.406737
1566	-1255.033	-1472.995	217.9622	1.397019	0.982644	0.0173561	1.567783
1572	-1260.345	-1476.211	215.8666	0.9628838	0.965468	0.0345319	3.187424
1578	-1264.83	-1479.455	214.6252	0.9454905	0.965468	0.0345319	3.920324
1584	-1258.146	-1474.924	216.7782	1.135644	0.987713	0.0122867	2.529669
1590	-1258.698	-1474.373	215.6752	1.100079	0.994315	0.00568493	3.219567
1596	-1255.863	-1472	216.1373	0.8678925	0.996099	0.00390084	3.082873
1602	-1261.243	-1478.328	217.0854	1.071649	0.999724	0.000276184	2.376967
1608	-1265.555	-1481.973	216.4177	1.06547	0.999498	0.000502348	2.794894
1614	-1267.062	-1481.71	214.6477	0.7276868	0.99915	0.000850477	4.031995
1620	-1265.433	-1481.672	216.2386	0.8819289	0.998913	0.00108736	3.013919
1626	-1265.914	-1481.94	216.0261	1.030261	0.998913	0.00108736	3.052329
1632	-1279.571	-1495.206	215.6347	0.9992383	0.995815	0.00418498	3.30298
1638	-1287.499	-1501.911	214.4117	0.7312969	0.997788	0.00221221	4.164331
1644	-1282.674	-1498.358	215.6843	0.9802888	0.997788	0.00221221	3.284926
1650	-1276.698	-1492.416	215.7177	0.9802888	0.998862	0.0011376	3.265213
1656	-1269.949	-1486.924	216.9753	1.028842	0.998862	0.0011376	2.473243
1662	-1270.813	-1488.424	217.6101	1.213596	0.997486	0.00251394	1.942745
1668	-1276.681	-1493.374	216.6939	1.122951	0.999042	0.00095843	2.58998
1674	-1277.235	-1493.343	216.1074	1.00885	0.999847	0.000152906	3.016478
1680	-1270.759	-1488.885	218.1261	1.513537	0.588527	0.411473	1.354403
1686	-1273.753	-1491.985	218.2326	1.430927	0.678734	0.321266	1.335394
1692	-1276.379	-1492.674	216.2952	1.190176	0.99497	0.00502959	2.793508
1698	-1268.429	-1485.04	216.6113	1.098178	0.987282	0.0127179	2.656275
1704	-1279.795	-1496.182	216.3875	0.9921481	0.999726	0.000274399	2.857745
1710	-1285.719	-1501.778	216.0591	0.9125896	0.99978	0.000219796	3.102901
1716	-1284.248	-1499.292	215.0435	0.9950294	0.999078	0.000922024	3.650758
1722	-1267.409	-1485.681	218.2712	1.351257	0.716157	0.283843	1.36801
1728	-1264.413	-1482.494	218.0813	1.351257	0.708473	0.291527	1.513482
1734	-1257.483	-1475.683	218.1994	1.351257	0.670851	0.329149	1.423942
1740	-1268.099	-1483.694	215.5946	0.9151385	0.997452	0.00254818	3.376019
1746	-1275.36	-1491.5	216.1402	1.026808	0.996208	0.00379242	2.986049
1752	-1271.858	-1487.83	215.9726	1.071099	0.983207	0.0167931	3.059909
1758	-1274.246	-1489.951	215.7059	0.9625637	0.992405	0.00759544	3.282676
1764	-1273.691	-1490.941	217.2494	1.157779	0.669564	0.330436	2.217087
1770	-1278.625	-1495.92	217.295	1.031022	0.651744	0.348256	2.269309
1776	-1266.021	-1483.309	217.2877	1.03831	0.604875	0.395125	2.269309
1782	-1273.643	-1490.868	217.2255	1.111173	0.586203	0.413797	2.262435
1788	-1272.15	-1489.573	217.4238	1.047552	0.576812	0.423188	2.175536
1794	-1279.214	-1495.125	215.9109	0.8708263	0.982787	0.0172131	3.215718
1800	-1273.694	-1491.074	217.3797	1.024383	0.671216	0.328784	2.219084
1806	-1273.075	-1490.603	217.5276	0.9021207	0.578367	0.421633	2.202502
1812	-1282.313	-1497.315	215.0024	0.8293188	0.98021	0.0197901	3.770276
1818	-1295.222	-1511.654	216.4313	0.9259096	0.981039	0.0189607	2.871325
1824	-1273.962	-1491.593	217.6308	1.314474	0.64463	0.35537	1.860277
1830	-1281.295	-1497.763	216.4687	1.029833	0.639866	0.360134	2.785502
1836	-1277.767	-1494.65	216.8828	0.9710315	0.594254	0.405746	2.567038
1842	-1277.466	-1493.83	216.3636	0.9514394	0.566506	0.433494	2.896867
1848	-1284.295	-1501.555	217.2597	1.071113	0.700798	0.299202	2.266179
1854	-1271.109	-1488.051	216.9419	1.069274	0.57001	0.42999	2.468831
1860	-1262.838	-1479.837	216.9984	0.8909095	0.638016	0.361984	2.54497
1866	-1277.633	-1494.413	216.7798	0.9940148	0.544884	0.455116	2.616598
1872	-1277.08	-1494.869	217.7889	1.249684	0.505321	0.494679	1.796076
1878	-1276.451	-1494.239	217.7889	1.249684	0.510338	0.489662	1.796076
1884	-1278.577	-1495.822	217.2447	1.044942	0.580302	0.419698	2.292578
1890	-1277.811	-1494.252	216.4414	0.9324264	0.740134	0.259866	2.861294
1896	-1283.803	-1500.225	216.4211	0.9527402	0.739539	0.260461	2.861294
1902	-1268.341	-1484.115	215.7731	0.8700005	0.986471	0.013529	3.297621
1908	-1273.149	-1489.17	216.0204	0.8772069	0.984582	0.0154178	3.146971
1914	-1262.344	-1477.665	215.3214	0.8739978	0.997034	0.00296574	3.559674
1920	-1258.273	-1473.38	215.107	0.9670321	0.998834	0.00116629	3.630205
1926	-1253.666	-1468.884	215.2178	0.8562091	0.994386	0.00561446	3.630205
1932	-1270.78	-1485.844	215.0646	0.8980829	0.983819	0.0161814	3.694655
1938	-1263.464	-1479.471	216.007	0.8899285	0.983819	0.0161814	3.147399
1944	-1263.345	-1479.373	216.028	0.8899285	0.993538	0.00646193	3.134904
1950	-1271.316	-1486.051	214.7348	0.8304641	0.98004	0.0199596	3.923391
1956	-1268.348	-1484.578	216.2302	1.01767	0.98004	0.0199596	2.937399
1962	-1265.915	-1481.458	215.5432	0.8569513	0.970331	0.0296688	3.44026
1968	-1264.919	-1479.836	214.9166	0.7701695	0.990537	0.00946258	3.853696
1974	-1257.408	-1474.009	216.6018	1.013592	0.991618	0.00838173	2.714105
1980	-1260.254	-1476.936	216.6822	1.181112	0.992203	0.0077975	2.561124
1986	-1268.973	-1485.796	216.8235	1.181112	0.982101	0.0178991	2.472942
1992	-1266.075	-1483.292	217.2168	1.169247	0.978362	0.0216377	2.230709
1998	-1271.015	-1488.625	217.6097	1.243396	0.988215	0.0117851	1.922928
2004	-1266.03	-1482.35	216.3198	1.212386	0.995203	0.00479726	2.765008
2010	-1277.668	-1493.711	216.0428	0.9594473	0.997264	0.00273646	3.084662
2016	-1289.174	-1505.971	216.7962	0.9594473	0.997264	0.00273646	2.627823
